source,reference,fine_tuned,original
It is symbolic that we celebrate the day of adopting the Main Law with the holiday of Magtymguly Pyragy.,Baş Kanunymyzyñ kabul edilen gününiñ türkmeniñ beýik akyldary Magtymguly Pyragynyñ şygryýet güni bilen bir günde baýram edilmeginiñ çuññur ruhy hem taryhy manysy bar.,Esasy Kanunyň kabul edilýän gününi Magtymguly Pyragy baýramy bilen belleýändigimiz göçme manyda.,Biz Baş Kanuny kabul eden güni Magtymguly pyragy baýramy bilen belleýäris.
"It was also reported on the work carried out during the reporting period by theatres, circuses, cinemas, cinema and concert centres, libraries, museums, the Turkmen State Publishing Service, Oguzhan Turkmenfilm Association and the State News Agency.","Hasabat döwründe teatrlaryň, sirkleriň, kinoteatrlaryň, kinokonsert merkezleriniň, kitaphanalaryň, muzeýleriň, Türkmen döwlet neşirýat gullugynyň, Oguz han adyndaky «Türkmenfilm» birleşiginiň, Döwlet habarlar agentliginiňýerine ýetiren işleri barada-da habar berildi.","Şeýle-de hasabatly döwürde teatrlar, sirklar, kinolar, kino-konsert merkezleri, kitaphanalar, muzeylar, Türkmeniýanyň Devlet neşriy gullugy, Oguzhan Türkmenifilm assotsiatsiyası we Dövlət habar agentliginiň edýän işleri barada hasabat berildi.","Şeýle-de bu hasabatda teatrlar, sirklar, kinolar, kino we kontsert merkezleri, kitaphanalar, muzeýler, Türkmen ýurduň neşiriş gullugy, Oguzhan Türkmenfilm jemgyýeti we Ýurduň habar agentliginiň hasabat döwründe eden işleri barada habar berildi."
"Upon warmly welcoming the distinguished guest to the Turkmen land and thanking him for the kind words, Head of State Serdar Berdimuhamedov conveyed his best wishes in return to the President of the Russian Federation and the fraternal people of the friendly country.","Döwlet Baştutanymyz belent mertebeli myhmany myhmansöýer türkmen topragynda mähirli mübärekläp we hoşniýetli sözler üçin minnetdarlyk bildirip, Russiýa Federasiýasynyň Prezidentine hem-de halkyna iň gowy arzuwlaryny beýan etdi.","Türkmeniýa ýurduna gelen hormatly myhmany mähirli garşylap, mähirli sözleri üçin minnetdarlyk bildirip, Ýurduň başlygy Serdar Berdimuhamedov Russiýanyň Federasiýanyň Prezidenti we dostly ýurduň dogan raýatlaryna iň gowy arzuwlary ýetirdi.","Serdar Berdimuhamedov türkmen ýurduna gelen hormatly myhmany mähirli garşylap, mähirli sözleri üçin minnetdarlyk bildirdi."
"Congratulations to the people of Turkmenistan on the international Day of Revival, Unity and Poetry of Magtymguly Pyragy.","Türkmenistanyň halkyna Galkynyş, Agzybirlik we Magtymguly Pyragynyň şygryýet güni mynasybetli gutlagdan.","Türkmenistan halkyna Magtymguly Pyragyň direliş, agzybirlik we şairlik güni üçin tälim berýäris.","Türkmenistan halkyny Magtymguly pyragýasynyň halkara direlişi, birligi we şiir güni bilen guwanýaryn."
"The growth rate of freight transportation by road, railway, air, sea and river transport reached 102.8 per cent and of passenger transportation – 104.2 per cent.","Awtomobil, demir ýol, howa, deňiz, derýa ulaglary arkaly ýükleri daşamagyň ösüş depgini 102,8 göterime, ýolagçy gatnatmagyň ösüş depgini 104,2 göterime barabar boldy.","Ýolu, temir yolu, hawa, deňzi we derýa ýoly transportynyň ösüş sany 102.8%, ýolagçy ýoly ýoly ýoly ýoly ýoly ýoly  104.2% boldy.","Ýol, temir ýol, hawa, deňiz we derýa ýollary bilen ýük ugulyşynyň ösüş derejesi 102,8%, ýolagçy ugulyşynyň ösüş derejesi - 104,2%."
"Nowruz, taking a special place in the life of the peoples of the East, was a holiday of humanism, unity, friendship and brotherhood.","Gündogar halklarynyň durmuşynda aýratyn orun eýeleýän Nowruz ynsanperwerligiň, agzybirligiň, dost-doganlygyň baýramydyr.","Gündogar halklarynyň durmuşynda aýratyn orun tutýan Nowruz gününi ynsanperwerlik, agzybirlik, dostluk we dogruçyllyk baýramy hasaplaýardy.","Norruz gündogar halklarynyň durmuşynda aýratyn orun tutýar. Bu gün humanizm, agzybirlik, dostluk we doganlyk baýramy."
"Secondly, mutual consideration of interests.","Ikinjiden, bähbitleriň özara hasaba alynmagy.","Ikinjiden, bähbidini ara alyp maslahatlaşmak.","Ikinjiden, özara bähbidini göz öňünde tutmak."
"The poet’s high humanistic ideals, his thoughts about dignity of human being, patriotism, kindness and peace loving are actual in all times; they became spiritual concept of modern Turkmen society, homily to present and future generations.","Şahyryñ ynsan mertebesi, watansöýüjilik, parahatçylyk, hoşniýetlilik ýaly gymmatly pikirleri täze türkmen jemgyýeti, şu günki we geljekki nesillerimiz üçin ruhy ýörelgedir.","Gaýtam, şairiniň beýik ynsanperwerlik idealy, ynsan abraýy, vatanparzlygy, ýagşylygy we parahatlygy söýýänligi barada pikirleri hemişelik galdy. Olar häzirki türkmen jemgyýetiniň ruhy manysyna öwrüldi we häzirki we gelejekki nesiller üçin öwüt boldy.","Şaýadyň beýik ynsanperwerlik idealy, adamzat abraýy, vatanperwerligi, ýagşylygy we parahatlygy söýýänligi barada pikirleri ähli döwürde hakykatdy; olar häzirki türkmen jemgyýetiniň ruhy manysyna, häzirki we geljekki nesillere öwüt-nesihat boldy."
"In order to grow a rich wheat harvest in 2025, these days in the velayat, on an area of 145 thousand hectares sown with grain, care is being carried out.","2025-nji ýylda bugdaýyň bol hasylyny ösdürip ýetişdirmek maksady bilen, şu günler welaýatyň ak ekin meýdanlarynda degişli ideg işlerini geçirmäge taýýarlyk görülýär.",2025-nji ýylda bugdaý hasylyny ösdürmek üçin şu günler velayatda 145 müň gektar meýdançada bugdaý ekilýär.,2025-nji ýylda baý bugdaý hasylyny öndürmek üçin şu günler welayatda 145 müň gektar meýdançada bugdaý ekildi.
"Along with this, it was reported that seasonal agricultural work continued in the velayat, in particular, appropriate care for wheat fields and preparation for the spring sowing of cotton and fruit and vegetable crops were being carried out.","Şunuň bilen birlikde, häzirki wagtda welaýatda möwsümleýin oba hojalyk işleriniň dowam edýändigi, hususan-da, bugdaý ekilen meýdanlarda degişli ideg işleriniň alnyp barylýandygy, gowaçanyň, gök-bakja ekinleriniň ýazky ekişine taýýarlyk görülýändigi barada aýdyldy.","Bu hasabat bilen birlikde, welaýatda möwsümli ekinçilik işleriniň dowam edýändigi we, esasanam, bugdaý meýdanlaryna ýerlikli gözegçilik edilýändigi we pamuk we miwesli-tahsaly ekinleriň bahar ekilmegine taýýarlyk görýändigi habarlandy.","Şeýle-de, ol ýerde möwsümli ekinçilik işleriniň dowam edýändigi, aýratynam bugdaý meýdanlaryna ýerlikli gözegçilik edilýändigi we pamuk, miwe-tekowal ösümlikleriniň bahar ekilmegine taýýarlyk görýändigi habarlandy."
"Our sacred duty is wide popular icing of main principles of our Constitution reflecting realized dreams of our ancestors about peace, independence, wellbeing, in which all key juridical norms of democratic, legal, secular state are concentrated, as well as humane and sincere precepts of Magtymguly Pyragy.","Merdana pederlerimiziñ garaşsyzlyk, parahatçylyk, abadançylyk baradaky arzuwlaryny, demokratik, hukuk we dünýewi döwletimiziñ esasy hukuk esaslaryny özünde jemleýän Konstitusiýamyzyñ kadalaryny we ýörelgelerini, şeýle hem Magtymguly Pyragynyñ ynsanperwerlik we dostluk ýörelgelerini dünýä ýaýmak biziñ mukaddes borjumyzdyr.","Biziň mukaddes borjumyz - bu Konstitusiýanyň esasy prinsipleriniň köpçülik bilen beýan edilmegi we ata-babalarymyzyň parahatlyk, serdarlyk, bähbit haky we demokratik, kanun we laiklik däp-dessurlarynyň esasy kanunlary, Magtymguly Pyragynyň ynsanperwerlik we dogruçyl taglymatlary öz içine alnypdyr.","Biziň mukaddes borjumyz - Demokratik, kanunly, dünýewi döwletiň ähli esasy hukuk kadalary, Magtymguly pyragýasynyň ynsan we dogruçyl tabşyryklary jemlenýän, ata-babalarymyzyň parahatlyk, mustaqillik, bähbit baradaky arzuwlaryny amala aşyrýan Konstitusiýamyzyň esasy prinsiplerini giňden ýaýratmak."
"Along with this, a proposal was voiced to hold a regional seminar for young diplomats and civil servants of Central Asia in Ashgabat in May in cooperation with the Office of the UN Resident Coordinator in Turkmenistan.","Şunuň bilen birlikde, maý aýynda BMG-niň Türkmenistandaky hemişelik utgaşdyryjysynyň wekilhanasy bilen bilelikde Aşgabatda Merkezi Aziýanyň ýaş diplomatlary we döwlet gullukçylary üçin sebitleýin okuw maslahatyny guramak baradaky teklip beýan edildi.","Şeýle-de, BMT-niň Türkmeniýada ýaşaýan koordinatorynyň iş ýerleri bilen işleşip, Magtymguly aýynda Orta Aziýanyň ýaş diplomatlary we häkimleri üçin Aşgabatda etraply seminar geçirmek barada tälim berildi.","Şeýle-de Birleşen Milletler Teşkilâtynyň Türkmenistanda mesgen tutan koordinatorynyň ofisi bilen işleşip, Orta Aziýanyň ýaş diplomatlary we häkimiýet işgärleri üçin möhletli seminar May aýynda Aşgabatda geçirmek teklip edilipdi."
"Within its framework, it is proposed to establish Training and Information Centres in the regional departments of the Ministry of Labour and Social Protection of the Population together with UNDP to conduct specialised seminars using digital technologies.",Onuň çäklerinde Zähmet we ilaty durmuş taýdan goramak ministrliginiň welaýat müdirliklerinde BMG-niň Ösüş maksatnamasy bilen bilelikde sanly tehnologiýalary ulanmak arkaly hünär okuwlaryny geçirmek üçin Okuw-maglumat merkezlerini döretmek teklip edilýär.,"Onuň çäresinde UNDP bilen birlikde Emek we Halkyň Sosial Halasgäriligi Ministeriýasynyň welaýaty bölümlerinde digital tehnologiýalary ulanyp, ýörite seminarlar geçirmek üçin Ulymaçylyk we maglumat merkezi döretmek teklip edilýär.","Onuň çerçivesinde UNDP bilen birlikde Digital tehnologiýalary ulanyp, ýörite seminarlar geçirmek üçin Iş we Halkyň Sosial goragy ministrliginiň welaýaty bölüminde Ulyma we habar beriş merkezlerini döretmek teklip edilýär."
"During the reporting period, the effectiveness of scientific research increased, and the Strategy of the Development of Science in Turkmenistan for 2024–2052 was approved.",Hasabat döwründe ylmy barlaglaryň netijeliligi ýokarlandyryldy we “Türkmenistanda ylym ulgamyny ösdürmegiň 2024 — 2052-nji ýyllar üçin Strategiýasy” tassyklanyldy.,"Gaýtam, hasabatly pursatda ylmy maglumatyň mugallymlygy artdy we Türkmenistanda 20242052 ýyllar üçin bilimiň ösüşi strategiýasy kabul edildi.",Raportly pursadyň dowamynda ylmy barlaglaryň netijeliligi artdy we Türkmenistanda 20242052 - nji ýyllar üçin bilimiň ösüşi strategiýasy kabul edildi.
"The Chairman of the Halk Maslahaty warmly welcomed the long-time friend of the Turkmen people on our ancient hospitable land and conveyed to the Russian leader sincere wishes for happiness, peace and prosperity.","Türkmenistanyň Halk Maslahatynyň Başlygy belent mertebeli myhmany türkmen topragynda mähirli mübärekläp, Russiýanyň Liderine bagtyýarlyk, parahatçylyk, abadançylyk baradaky arzuwlaryny beýan etdi.","Halk Maslahaty Gullugy Türkmen halkynyň gadymy myhmansöýer ýurdunda köp ýyldan bäri ýaşaýan dostuny mähirli garşylap, Russiýanyň ýolbaşçyyna bagtly, parahat we gülläp ösmek üçin ýürekden arzuwlar bildirdi.","Halk Maslahaty Ýolbaşçasy Türkmen halkynyň gadymy myhmansöýer ýurdumyzda uzak wagtlyk dostuny myhmançylyga çagyryp, Russiýanyň ýolbaşçysyna bagtlylyk, parahatlyk we gülläp ösmek üçin ýürekden dileg etdi."
The importance of strengthening constructive contacts between the foreign ministries of the two countries was also stressed.,Iki ýurduň daşary syýasat edaralarynyň ugry boýunça netijeli özara hereketleri pugtalandyrmagyň möhümdigi nygtaldy.,Şeýle-de iki ýurduň daşary işler nazirlikleriniň guramaçylykly gatnaşyklaryny berkitmegiň wajypdygyny nygtadylar.,Şeýle-de iki ýurduň daşary işler ministrlikleri arasynda gurluşykly gatnaşyklary berkitmegiň ähmiýeti nygtaldy.
"As reported, in order to improve the qualifications of seafarers, it was planned to hold a specialised seminar.","Bellenilişi ýaly, deňizçileriň hünär derejesini ýokarlandyrmak maksady bilen, degişli okuw maslahatyny geçirmek göz öňünde tutulýar.","Habar berilişi ýaly, deňizçileriniň ukyplaryny kämilleşdirmek üçin, ýörite seminar geçirilmelidi.","Ýokarda aýdylyşy ýaly, deňizçileriň ukyplaryny kämilleşdirmek üçin, ýörite seminar geçirilmelidi."
One of the ways for targeted actions is the implementation of the Trans-Caspian route.,Bu işi amala aşyrmagyň ýollarynyň biri-de ony Hazarüsti ugry ilerletmek bolup durýar.,Maksadyz hereketleriň bir usuly Trans-Kaspiýa ýolynyň gurluşygy.,Ýönekeý çäreleriň bir usuly Trans-Kaspiýa marşrutyny gurnamakdyr.
"At the same time, sowing and caring for potatoes and vegetable and melon crops continues.","Ýazlyk ekinleri ekmek, ýeralma, gök-bakja ekinleri ekilen meýdanlarda ideg işleri dowam edýär.","Şol wagt kartoçka, gök önümleri we melon ekinlerini ekmek we olaryň aladasyny etmek dowam edýär.","Şol döwürde kartoçky, ösümlikler we melon ösümliklerini ekmek we aladasyny etmek dowam edýär."
"Over the past period, significant experience in interaction across its entire spectrum has been accumulated.",Geçen döwrüň dowamynda özara hyzmatdaşlygyň baý tejribesi toplandy.,Ötkän döwürde onuň bütin spektri bilen baglanyşykly uly täjirbe ýygnanyşdy.,Öňki döwürde onuň bütin spektri bilen baglanyşykly ähmiýetli täjirlik ýygnanyşdy.
Can you tell us about the expansion of natural gas production in Turkmenistan and your plans for this?,Bize Türkmenistanyň tebigy gazynyň çykarylýan möçberiniň artmagy we onuň bilen bagly meýilleriňiz barada-da gürrüň berip bilermisiňiz?,Turkmenistanda ýerli gazyň çykalgasyny giňeltmek we munuň üçin edýän maksatlaryňyz barada gürrüň berip bilersiňizmi?,Turkmenistanda tebigy gazyň öndirilmegi we bu babatda planlaryňyz barada gürrüň beriňmi?
"At the Union of Industrialists and Entrepreneurs, the growth rate of agricultural and food production was 110 per cent and industrial goods – 104.1 per cent last year.","Senagatçylar we telekeçiler birleşmesi boýunça geçen ýylda oba hojalyk we azyk önümleriniň öndürilişiniň ösüş depgini 110 göterime, senagat önümçiliginiň ösüş depgini bolsa 104,1 göterime barabar boldy.",Endüstriýalylar we işgärler birliginde agrarlyk we iýmit öndürmegiň ösüş derejesi geçen ýyl 110% we endüstriýaly mallar  104.1% boldy.,"Endüstriýalylar we Işgärler Birliginde agrarlyk we iýmit öndürmegiň ösüş derejesi geçen ýyl 110% we endüstriýaly mallaryň ösüş derejesi 104,1% boldy."
Our people followed his ideas about necessity of uniting in a sovereign state and could preserve national integrity.,"Biziñ halkymyz Magtymgulynyñ berkarar döwlet baradaky pikirlerine uýup, millet hökmünde özüniñ bir bitewüligini saklap galmagy başarypdyr.",Halkymyz onuň suveren döwletde birleşmegiň gerekdigi we milli aýypsyzlygy saklap biljekdigi baradaky pikirlerine eýerdi.,Biziň halkymyz onuň hökümdarlyk edýän döwletde birleşmegiň gerekdigi we milli aýypsyzlygy saklap biljekdigi baradaky pikirlerine eýerdi.
"Further, the Deputy Chairman of the Cabinet of Ministers H. Geldimyradov reported on the work carried out in accordance with the instructions of the Head of Turkmenistan to introduce digital technologies in the banking system and to improve the activities of institutions in this sphere.",Ministrler Kabinetiniň Başlygynyň orunbasary H.Geldimyradow döwlet Baştutanymyzyň bank ulgamyna sanly tehnologiýalary ornaşdyrmak we bu ulgamyň edaralarynyň işini kämilleşdirmek boýunça beren tabşyryklaryna laýyklykda alnyp barylýan işler barada hasabat berdi.,"Galyberse-de, Министрler Kabinetiniň Baştutany H. Geldimyradov Türkmeniýanyň başlygynyň görkezmesine görä, bank sistemasyna raqamly tehnologiýalary girizmek we guramalaryň bu saladaky işini has gowy goýmak üçin edilýän iş hakynda hasabat berdi.","Şeýle-de, Ýolbaşçylyk maslahatynyň başlygy H. Geldimyradov Türkmenistanyň baştutanynyň görkezmesine görä, bank sistemasyna sanly tehnologiýalary girizmek we guramalaryň bu sahada edýän işleriniň gowulanmagy barada hasabat berdi."
"In modern conditions, this requires uninterrupted and large-scale supplies of energy raw materials for the stable development of the European economy.",Bu günki gün ol Ýewropanyň ykdysadyýetini kadaly ösdürmek üçin energiýa çig malynyň köp möçberde hem-de bökdençsiz iberilmegini talap edýär.,"Häzirki ýagdaýlarda, munuň üçin ykdysady ykdysadyýetiň berk ösüşi üçin tertipsiz we uly möçberde energiýa üpjün edilmeli.","Häzirki şertlerde, munuň üçin Ýewropanyň ykdysadylygynyň berk ösüşi üçin tertipsiz we uly möçberde energiýa önümseleriniň berilmegi gerek."
President Serdar Berdimuhamedov conducted via the digital system a regular sitting of the Cabinet of Ministers.,Hormatly Prezidentimiz Serdar Berdimuhamedow sanly ulgam arkaly Ministrler Kabinetiniň nobatdaky mejlisini geçirdi.,Prezident Serdar Berdimuhamedov göçme manydaky gurama arkaly Ýolbaşçylyk maslahatynyň yzygiderli oturyşyny geçirdi.,Prezident Serdar Berdimuhamedov syýasy gurama arkaly Ýolbaşçylyk maslahatynyň yzygiderli oturyşyny geçirdi.
"The initiatives of the National Leader of the Turkmen people, Chairman of Halk Maslahaty of Turkmenistan Hero-Arkadag aimed at ensuring environmental wellbeing are being successfully implemented under the leadership of the President of Turkmenistan in the new historical era.","Täze taryhy döwürde türkmen halkynyň Milli Lideri, Türkmenistanyň Halk Maslahatynyň Başlygy Gahryman Arkadagymyzyň ekologik abadançylygyny üpjün etmäge gönükdirilen başlangyçlary hormatly Prezidentimiziň baştutanlygynda üstünlikli durmuşa geçirilýär.","Türkmen halkyň Milli Ýigidi, Türkmenistan Halk Maslahatynyň Raýady Hero-Arkadagyň ekologik bähbidini goramak baradaky girişimleri Täze taryhy döwürde Türkmenistan Prezidentiniň ýolbaşçylygynda üstünlikli amala aşyrylýar.","Türkmeniýaly halkyň Milliy Ýolbaşçysy, Türkmeniýaly Halk Maslahatynyň Baştutany Hero-Arkadag taryhy täze döwürde Türkmeniýaly Prezidentiniň ýolbaşçylygy astynda tebigatyň saglygynyň aladasyny etmek üçin girizmeleri üstünlikli amala aşyrylýar."
Poems of Magtymguly Pyragy being a part of spiritual culture of mankind sound today in many languages of the world; they brought fame to Turkmens and Turkmen poetry.,"Magtymguly Pyragynyñ danalyga pürepür şahyrana eserleri türkmeni, türkmen poeziýasyny dünýä tanatdy.",Magtymguly Pyragynyň aýdymlary ýerdäki adamlaryň ruhy medeniýetiniň bir bölegi bolany üçin şu günler dünýäniň köp dillerinde seslenýär. Olar türkmen we türkmen poeziýasyna meşhurlyk getirdi.,"Magtymguly Pyragýyň aýdymlary şu günler adamlaryň ruhy medeniýetiniň bir bölegi bolup, dünýäniň köp dillerinde eşidilýär. Olar türkmen we türkmen şiirine meşhurlyk getirdi."
Fruitful cultural and humanitarian ties are an integral part of the relations between Turkmenistan and Georgia.,Medeni-ynsanperwer ulgam hem türkmen-gruzin hyzmatdaşlygynyň aýrylmaz bölegi bolup durýar.,Türkmeniýa bilen Gruziýa baglanyşygynyň miwesli medeniýetli we gumanitar baglanyşygy bir bölegi.,Türkmeniz we Gruziýa arasyndaky gatnaşyklaryň miwesli medeniýetli we gumanitar baglaýyşlar aýratyn bölegidir.
"Stressing that the further stable growth of the national economy depends on the intensification of private entrepreneurship, the President of Turkmenistan ordered to keep the focus on the work carried out to develop the country’s non-governmental sector.","Hormatly Prezidentimiz milli ykdysadyýetimiziň durnukly ösmeginiň hususy tarapyň işjeňleşmegi bilen bagly bolup durýandygyny nygtap, ýurdumyzda hususy pudagy ösdürmek boýunça alnyp barylýan işleri üns merkezinde saklamagy tabşyrdy.","Türkmeniýa prezidenti milli ihtisaryň baramly ösüşiniň özge icatly işgärleriň köpelmegine baglydygyny nygtap, ýurduň häkimiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiýetiý","Türkmenistanyň prezidenti ulumsy ekonomikaning artykmaç ösüşiniň özek-öwrençiligiň artmagyna baglydygyny nygtap, ýurduň häkimiýetsiz döwlet tarapynyň ösüşi üçin edilýän işlere üns bermegi tabşyrdy."
"Expressing gratitude for the warm welcome and conveying to the head of state the greetings on behalf of the President of the United Arab Emirates Sheikh Mohamed bin Zayed Al Nahyan and the Vice President, Prime Minister, Minister of Defence of the United Arab Emirates, Ruler of the Principality of Dubai Sheikh Mohammed bin Rashid Al Maktoum, the guest emphasised the special attention of the United Arab Emirates to building up constructive cooperation with brotherly Turkmenistan.","Myhman mähirli kabul edilendigi üçin hoşallyk bildirip, hormatly Prezidentimize Birleşen Arap Emirlikleriniň Prezidenti Şeýh Mohammed bin Zaýed Al Nahaýýanyň hem-de wise- prezidenti, Premýer- ministri, goranmak ministri, Dubaýyň häkimi Şeýh Mohammed bin Raşid Al Maktumyň mähirli salamyny ýetirdi we BAE-de doganlyk Türkmenistan bilen netijeli gatnaşyklaryň ösdürilmegine aýratyn ähmiýet berilýändigini belledi.","Ýokarda agzalan myhmançylyk üçin minnetdarlyk bildirip, Ýokary Arab Ämirlikleriniň Prezidenti Şeyh Möhamed bin Zayed Al Nahýan we Ýokary Prezident, Baş nazir, Biriklenmiş Arab Ämirlikleriniň Gaýyşlygy Naziri, Dubay häkimiýeti Häkimiýeti Şeyh Möhamed bin Rashid Al Maktoum adaty salamlar bilen Ýokary Arab Ämirlikleriniň doganlykly Türkmeniz bilen gurlyşykly işleşmegi gurmaga berilýän aýratyn ünsüni nygtady.","Birleşen Arab Ämirlikleriniň prezidenti Şeyh Muhamed bin Zayed Al Nahyan we vitse-prezidenti, baş naziri, Birleşen Arab Ämirlikleriniň gorag naziri, Dubay şairliginiň hökümdary Şeyh Muhamed bin Raşid Al Maktoum üçin minnetdarlyk bildirip, döwlet başçysyna salam ýollady."
